year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2014,12,FL,AirTran Airways Corporation,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1361.00,167.00,29.10,0.81,66.23,0.00,70.86,9.00,0.00,7989.00,1806.00,38.00,2062.00,0.00,4083.00
2014,12,FL,AirTran Airways Corporation,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",83.00,10.00,4.30,0.00,2.03,0.00,3.66,0.00,0.00,398.00,154.00,0.00,44.00,0.00,200.00
2014,12,FL,AirTran Airways Corporation,MDW,"Chicago, IL: Chicago Midway International",101.00,10.00,4.55,0.00,0.50,0.00,4.96,0.00,0.00,434.00,203.00,0.00,29.00,0.00,202.00
2014,12,FL,AirTran Airways Corporation,BOS,"Boston, MA: Logan International",76.00,5.00,2.60,0.00,0.51,0.00,1.89,0.00,0.00,219.00,159.00,0.00,10.00,0.00,50.00
2014,12,FL,AirTran Airways Corporation,JAX,"Jacksonville, FL: Jacksonville International",56.00,13.00,7.42,0.00,0.74,0.00,4.83,0.00,0.00,502.00,224.00,0.00,28.00,0.00,250.00
2014,12,FL,AirTran Airways Corporation,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",55.00,17.00,10.58,0.00,1.26,0.00,5.16,0.00,0.00,562.00,318.00,0.00,56.00,0.00,188.00
2014,12,FL,AirTran Airways Corporation,RSW,"Fort Myers, FL: Southwest Florida International",56.00,11.00,4.95,0.00,0.20,0.00,5.85,0.00,0.00,371.00,127.00,0.00,7.00,0.00,237.00
2014,12,FL,AirTran Airways Corporation,STL,"St. Louis, MO: St Louis Lambert International",56.00,12.00,8.82,0.00,0.23,0.00,2.95,0.00,1.00,382.00,255.00,0.00,14.00,0.00,113.00
2014,12,FL,AirTran Airways Corporation,PHL,"Philadelphia, PA: Philadelphia International",56.00,10.00,0.00,0.00,7.21,0.00,2.79,1.00,0.00,805.00,0.00,0.00,511.00,0.00,294.00
2014,12,FL,AirTran Airways Corporation,DTW,"Detroit, MI: Detroit Metro Wayne County",52.00,8.00,4.00,0.00,0.12,0.00,3.88,0.00,0.00,372.00,239.00,0.00,5.00,0.00,128.00
2014,12,FL,AirTran Airways Corporation,HOU,"Houston, TX: William P Hobby",66.00,3.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,89.00,0.00,0.00,0.00,0.00,89.00
2014,12,FL,AirTran Airways Corporation,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",91.00,11.00,5.51,0.00,0.87,0.00,4.62,0.00,0.00,578.00,349.00,0.00,18.00,0.00,211.00
2014,12,FL,AirTran Airways Corporation,MCO,"Orlando, FL: Orlando International",166.00,26.00,8.79,0.00,6.66,0.00,10.55,0.00,0.00,1091.00,295.00,0.00,282.00,0.00,514.00
2014,12,FL,AirTran Airways Corporation,TPA,"Tampa, FL: Tampa International",164.00,13.00,4.79,0.00,2.25,0.00,5.96,1.00,0.00,629.00,145.00,0.00,89.00,0.00,395.00
2014,12,FL,AirTran Airways Corporation,MKE,"Milwaukee, WI: General Mitchell International",80.00,7.00,5.00,0.00,0.00,0.00,2.00,0.00,0.00,275.00,119.00,0.00,0.00,0.00,156.00
2014,12,FL,AirTran Airways Corporation,MCI,"Kansas City, MO: Kansas City International",53.00,4.00,2.73,0.00,0.27,0.00,1.00,0.00,1.00,161.00,112.00,0.00,6.00,0.00,43.00
2014,12,FL,AirTran Airways Corporation,MSP,"Minneapolis, MN: Minneapolis-St Paul International",72.00,2.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,122.00,77.00,0.00,0.00,0.00,45.00
2014,12,FL,AirTran Airways Corporation,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",80.00,13.00,7.60,0.00,0.96,0.00,4.44,0.00,0.00,480.00,244.00,0.00,27.00,0.00,209.00
2014,12,FL,AirTran Airways Corporation,IND,"Indianapolis, IN: Indianapolis International",132.00,12.00,5.53,1.00,0.65,0.00,4.82,0.00,0.00,397.00,149.00,17.00,12.00,0.00,219.00
2014,12,FL,AirTran Airways Corporation,PIT,"Pittsburgh, PA: Pittsburgh International",84.00,5.00,2.96,0.00,0.04,0.00,2.00,0.00,0.00,348.00,254.00,0.00,6.00,0.00,88.00
2014,11,FL,AirTran Airways Corporation,CAK,"Akron, OH: Akron-Canton Regional",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2014,11,FL,AirTran Airways Corporation,SAT,"San Antonio, TX: San Antonio International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2014,11,FL,AirTran Airways Corporation,SFO,"San Francisco, CA: San Francisco International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2014,11,FL,AirTran Airways Corporation,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",,,,,,,,,,,,,,,
2014,11,FL,AirTran Airways Corporation,BDL,"Hartford, CT: Bradley International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
