year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,AS,Alaska Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",79.00,21.00,6.21,0.16,7.57,0.00,7.06,0.00,0.00,1054.00,561.00,13.00,231.00,0.00,249.00
2023,8,AS,Alaska Airlines Inc.,ADK,"Adak Island, AK: Adak",9.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,23.00,23.00,0.00,0.00,0.00,0.00
2023,8,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",79.00,12.00,3.14,0.00,2.69,0.00,6.17,2.00,0.00,411.00,143.00,0.00,67.00,0.00,201.00
2023,8,AS,Alaska Airlines Inc.,AKN,"King Salmon, AK: King Salmon Airport",39.00,4.00,1.80,0.00,0.58,0.00,1.63,0.00,0.00,120.00,54.00,0.00,18.00,0.00,48.00
2023,8,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1463.00,312.00,76.22,0.92,100.10,24.46,110.29,10.00,1.00,12998.00,3741.00,328.00,3051.00,638.00,5240.00
2023,8,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",124.00,24.00,6.60,0.00,10.13,0.00,7.27,0.00,2.00,987.00,241.00,0.00,450.00,0.00,296.00
2023,8,AS,Alaska Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",279.00,61.00,16.45,0.37,33.74,0.00,10.44,1.00,0.00,2715.00,1177.00,11.00,1153.00,0.00,374.00
2023,8,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport",62.00,12.00,3.24,1.00,3.95,0.00,3.81,4.00,0.00,372.00,71.00,26.00,119.00,0.00,156.00
2023,8,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",89.00,18.00,6.50,0.00,4.82,0.00,6.68,0.00,0.00,577.00,313.00,0.00,107.00,0.00,157.00
2023,8,AS,Alaska Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",27.00,9.00,1.92,0.00,2.34,0.00,4.73,0.00,0.00,607.00,296.00,0.00,55.00,0.00,256.00
2023,8,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",257.00,63.00,12.30,5.40,34.58,0.10,10.63,0.00,0.00,3581.00,670.00,259.00,1915.00,2.00,735.00
2023,8,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",31.00,9.00,2.90,1.00,0.90,0.00,4.20,0.00,0.00,536.00,231.00,45.00,42.00,0.00,218.00
2023,8,AS,Alaska Airlines Inc.,BUR,"Burbank, CA: Bob Hope",182.00,43.00,11.67,0.00,15.75,0.00,15.59,0.00,2.00,1859.00,461.00,0.00,562.00,0.00,836.00
2023,8,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62.00,11.00,4.41,0.00,2.54,0.00,4.05,0.00,1.00,319.00,121.00,0.00,80.00,0.00,118.00
2023,8,AS,Alaska Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",89.00,21.00,8.05,0.00,4.76,0.00,8.19,0.00,0.00,797.00,425.00,0.00,166.00,0.00,206.00
2023,8,AS,Alaska Airlines Inc.,CDV,"Cordova, AK: Merle K Mudhole Smith",62.00,14.00,2.38,0.00,2.32,0.00,9.31,0.00,0.00,681.00,68.00,0.00,123.00,0.00,490.00
2023,8,AS,Alaska Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",31.00,5.00,2.44,0.00,2.56,0.00,0.00,0.00,2.00,126.00,66.00,0.00,60.00,0.00,0.00
2023,8,AS,Alaska Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",62.00,8.00,3.73,0.00,2.58,0.00,1.70,0.00,0.00,267.00,166.00,0.00,60.00,0.00,41.00
2023,8,AS,Alaska Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",62.00,9.00,4.88,0.00,2.36,0.00,1.76,0.00,1.00,263.00,167.00,0.00,63.00,0.00,33.00
2023,8,AS,Alaska Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",31.00,3.00,0.92,0.00,1.43,0.00,0.66,0.00,0.00,183.00,120.00,0.00,44.00,0.00,19.00
2023,8,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",87.00,14.00,5.96,0.00,5.93,0.00,2.11,0.00,0.00,437.00,206.00,0.00,165.00,0.00,66.00
2023,8,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",155.00,34.00,6.10,0.00,21.51,0.00,6.40,0.00,1.00,1611.00,394.00,0.00,887.00,0.00,330.00
