year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,G4,Allegiant Air,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",154.00,36.00,13.13,1.89,7.04,0.00,13.94,3.00,0.00,2064.00,678.00,65.00,499.00,0.00,822.00
2023,8,G4,Allegiant Air,ALB,"Albany, NY: Albany International",44.00,13.00,6.80,2.14,2.12,0.00,1.94,0.00,0.00,1131.00,643.00,237.00,62.00,0.00,189.00
2023,8,G4,Allegiant Air,ATW,"Appleton, WI: Appleton International",82.00,35.00,10.62,0.37,10.65,0.00,13.35,1.00,0.00,2109.00,984.00,19.00,413.00,0.00,693.00
2023,8,G4,Allegiant Air,AUS,"Austin, TX: Austin - Bergstrom International",104.00,17.00,5.70,3.47,3.84,1.00,2.99,0.00,0.00,914.00,285.00,311.00,170.00,58.00,90.00
2023,8,G4,Allegiant Air,AVL,"Asheville, NC: Asheville Regional",266.00,83.00,8.48,9.16,29.56,0.00,35.79,2.00,1.00,4385.00,319.00,634.00,1444.00,0.00,1988.00
2023,8,G4,Allegiant Air,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",358.00,98.00,34.84,5.85,26.23,0.40,30.68,2.00,2.00,6971.00,3049.00,1180.00,1025.00,23.00,1694.00
2023,8,G4,Allegiant Air,BGR,"Bangor, ME: Bangor International",26.00,6.00,3.46,0.00,2.54,0.00,0.00,0.00,0.00,458.00,153.00,0.00,305.00,0.00,0.00
2023,8,G4,Allegiant Air,BIL,"Billings, MT: Billings Logan International",20.00,7.00,1.98,0.00,3.01,0.00,2.02,0.00,1.00,186.00,65.00,0.00,83.00,0.00,38.00
2023,8,G4,Allegiant Air,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",26.00,2.00,0.80,0.00,0.36,0.00,0.84,0.00,0.00,109.00,16.00,0.00,18.00,0.00,75.00
2023,8,G4,Allegiant Air,BLI,"Bellingham, WA: Bellingham International",78.00,13.00,3.80,1.20,1.95,0.00,6.04,0.00,0.00,809.00,196.00,67.00,74.00,0.00,472.00
2023,8,G4,Allegiant Air,BLV,"Belleville, IL: Scott AFB MidAmerica St Louis",85.00,19.00,4.09,1.73,9.32,0.00,3.86,1.00,1.00,936.00,306.00,40.00,236.00,0.00,354.00
2023,8,G4,Allegiant Air,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",17.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,19.00,0.00,0.00
2023,8,G4,Allegiant Air,BNA,"Nashville, TN: Nashville International",327.00,94.00,27.54,7.15,14.39,1.00,43.92,5.00,0.00,6919.00,2263.00,720.00,729.00,25.00,3182.00
2023,8,G4,Allegiant Air,BOI,"Boise, ID: Boise Air Terminal",25.00,6.00,1.00,0.88,1.22,0.00,2.91,1.00,0.00,518.00,64.00,28.00,316.00,0.00,110.00
2023,8,G4,Allegiant Air,BOS,"Boston, MA: Logan International",46.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,180.00,162.00,0.00,18.00,0.00,0.00
2023,8,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11.00,1.00,0.77,0.00,0.00,0.00,0.23,0.00,0.00,22.00,17.00,0.00,0.00,0.00,5.00
2023,8,G4,Allegiant Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",40.00,7.00,2.02,0.19,2.40,0.00,2.39,0.00,0.00,252.00,92.00,3.00,58.00,0.00,99.00
