year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2005,12,HP,America West Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",176.00,30.00,12.36,0.00,0.81,0.00,16.83,2.00,0.00,1386.00,608.00,0.00,26.00,0.00,752.00
2005,12,HP,America West Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",31.00,9.00,6.08,0.00,2.39,0.00,0.53,0.00,0.00,519.00,394.00,0.00,93.00,0.00,32.00
2005,12,HP,America West Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",162.00,22.00,7.79,0.00,12.48,0.00,1.73,3.00,0.00,1244.00,391.00,0.00,619.00,0.00,234.00
2005,12,HP,America West Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",58.00,6.00,2.35,1.55,0.77,0.00,1.33,0.00,0.00,454.00,142.00,218.00,21.00,0.00,73.00
2005,12,HP,America West Airlines Inc.,BDL,"Hartford, CT: Bradley International",31.00,5.00,2.48,0.00,1.06,0.00,1.46,0.00,0.00,145.00,78.00,0.00,27.00,0.00,40.00
2005,12,HP,America West Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",57.00,11.00,4.26,0.00,2.50,0.21,4.03,0.00,0.00,490.00,181.00,0.00,86.00,4.00,219.00
2005,12,HP,America West Airlines Inc.,BOS,"Boston, MA: Logan International",181.00,37.00,12.52,0.00,18.76,0.00,5.72,6.00,1.00,1179.00,484.00,0.00,477.00,0.00,218.00
2005,12,HP,America West Airlines Inc.,BUR,"Burbank, CA: Bob Hope",111.00,12.00,7.20,0.00,1.97,0.00,2.83,4.00,0.00,562.00,403.00,0.00,53.00,0.00,106.00
2005,12,HP,America West Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",146.00,37.00,19.38,0.00,12.84,0.00,4.78,0.00,0.00,1628.00,1072.00,0.00,344.00,0.00,212.00
2005,12,HP,America West Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",105.00,16.00,4.81,0.00,8.07,0.00,3.12,0.00,0.00,575.00,204.00,0.00,186.00,0.00,185.00
2005,12,HP,America West Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",123.00,19.00,10.15,0.00,4.32,0.00,4.54,0.00,1.00,817.00,550.00,0.00,98.00,0.00,169.00
2005,12,HP,America West Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",124.00,25.00,13.81,0.00,6.26,0.00,4.93,1.00,0.00,1245.00,746.00,0.00,219.00,0.00,280.00
2005,12,HP,America West Airlines Inc.,DEN,"Denver, CO: Denver International",339.00,69.00,32.71,0.77,17.77,0.00,17.76,4.00,0.00,2672.00,1470.00,37.00,445.00,0.00,720.00
2005,12,HP,America West Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",283.00,55.00,29.82,0.00,2.32,0.00,22.87,3.00,0.00,3215.00,1689.00,0.00,156.00,0.00,1370.00
2005,12,HP,America West Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",186.00,42.00,16.61,0.00,16.10,0.00,9.29,0.00,1.00,1860.00,880.00,0.00,432.00,0.00,548.00
2005,12,HP,America West Airlines Inc.,ELP,"El Paso, TX: El Paso International",145.00,20.00,13.07,0.00,1.78,0.00,5.14,2.00,0.00,1049.00,670.00,0.00,47.00,0.00,332.00
2005,12,HP,America West Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",172.00,40.00,13.36,0.00,21.09,0.27,5.28,3.00,0.00,1564.00,515.00,0.00,850.00,16.00,183.00
2005,12,HP,America West Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",111.00,27.00,12.86,0.00,8.91,0.23,5.00,0.00,0.00,996.00,348.00,0.00,400.00,20.00,228.00
2005,12,HP,America West Airlines Inc.,GEG,"Spokane, WA: Spokane International",36.00,4.00,1.13,0.00,1.00,0.00,1.87,0.00,0.00,273.00,149.00,0.00,20.00,0.00,104.00
2005,12,HP,America West Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",16.00,7.00,4.90,0.00,2.10,0.00,0.00,0.00,0.00,335.00,252.00,0.00,83.00,0.00,0.00
