year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",960.00,396.00,92.76,3.85,125.17,0.00,174.22,63.00,3.00,40145.00,12239.00,198.00,8264.00,0.00,19444.00
2023,8,F9,Frontier Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",24.00,8.00,3.88,0.00,0.35,0.00,3.77,1.00,0.00,441.00,267.00,0.00,18.00,0.00,156.00
2023,8,F9,Frontier Airlines Inc.,BDL,"Hartford, CT: Bradley International",76.00,23.00,7.85,0.00,7.09,0.00,8.06,3.00,0.00,1729.00,491.00,0.00,426.00,0.00,812.00
2023,8,F9,Frontier Airlines Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",14.00,2.00,0.00,0.00,0.02,0.00,1.98,0.00,0.00,616.00,0.00,0.00,9.00,0.00,607.00
2023,8,F9,Frontier Airlines Inc.,BNA,"Nashville, TN: Nashville International",74.00,19.00,6.14,0.00,5.01,0.00,7.85,4.00,0.00,1113.00,596.00,0.00,179.00,0.00,338.00
2023,8,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",41.00,7.00,2.46,0.00,2.42,0.00,2.12,0.00,0.00,369.00,138.00,0.00,121.00,0.00,110.00
2023,8,F9,Frontier Airlines Inc.,BQN,"Aguadilla, PR: Rafael Hernandez",33.00,20.00,7.81,0.00,1.50,0.00,10.69,1.00,1.00,1377.00,428.00,0.00,77.00,0.00,872.00
2023,8,F9,Frontier Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",114.00,37.00,14.92,1.56,5.52,0.00,15.00,7.00,0.00,2102.00,600.00,105.00,171.00,0.00,1226.00
2023,8,F9,Frontier Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",251.00,106.00,30.06,4.08,19.02,0.00,52.84,10.00,0.00,7981.00,1711.00,144.00,741.00,0.00,5385.00
2023,8,F9,Frontier Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",10.00,2.00,0.66,0.00,0.34,0.00,1.00,1.00,0.00,126.00,33.00,0.00,17.00,0.00,76.00
2023,8,F9,Frontier Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",23.00,4.00,2.34,0.00,1.00,0.00,0.66,0.00,0.00,160.00,74.00,0.00,15.00,0.00,71.00
2023,8,F9,Frontier Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",508.00,180.00,60.69,2.91,48.66,0.00,67.74,31.00,5.00,16529.00,6267.00,316.00,2252.00,0.00,7694.00
2023,8,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",249.00,95.00,19.10,1.56,27.03,0.00,47.31,9.00,1.00,6980.00,1624.00,72.00,1524.00,0.00,3760.00
2023,8,F9,Frontier Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",26.00,7.00,5.24,0.00,0.53,0.00,1.23,0.00,0.00,403.00,269.00,0.00,13.00,0.00,121.00
2023,8,F9,Frontier Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",276.00,80.00,25.94,0.00,10.64,0.00,43.42,11.00,0.00,6716.00,2245.00,0.00,510.00,0.00,3961.00
2023,8,F9,Frontier Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",93.00,17.00,3.89,0.48,1.94,0.00,10.69,3.00,0.00,1427.00,591.00,65.00,113.00,0.00,658.00
2023,8,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",2128.00,644.00,169.12,12.65,164.62,0.00,297.61,63.00,1.00,59928.00,20106.00,1047.00,8809.00,0.00,29966.00
2023,8,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",632.00,205.00,52.70,3.36,62.95,0.00,86.00,32.00,0.00,17205.00,5541.00,744.00,3009.00,0.00,7911.00
2023,8,F9,Frontier Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",14.00,3.00,0.37,0.00,0.63,0.00,2.00,1.00,0.00,70.00,7.00,0.00,12.00,0.00,51.00
2023,8,F9,Frontier Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",186.00,56.00,18.13,3.66,13.59,0.00,20.62,7.00,0.00,4622.00,1652.00,815.00,599.00,0.00,1556.00
2023,8,F9,Frontier Airlines Inc.,ELP,"El Paso, TX: El Paso International",26.00,6.00,1.31,0.00,2.14,0.00,2.56,1.00,0.00,387.00,98.00,0.00,104.00,0.00,185.00
2023,8,F9,Frontier Airlines Inc.,FAR,"Fargo, ND: Hector International",16.00,4.00,2.00,0.00,0.00,0.00,2.00,1.00,0.00,249.00,166.00,0.00,0.00,0.00,83.00
2023,8,F9,Frontier Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",187.00,54.00,10.75,1.69,11.95,0.00,29.61,12.00,3.00,4926.00,1441.00,116.00,1241.00,0.00,2128.00
2023,8,F9,Frontier Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",18.00,3.00,1.03,0.00,0.97,0.00,1.00,0.00,0.00,155.00,27.00,0.00,26.00,0.00,102.00
2023,8,F9,Frontier Airlines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",13.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,130.00,0.00,0.00,0.00,0.00,130.00
2023,8,F9,Frontier Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",38.00,9.00,2.09,0.00,2.72,0.00,4.19,1.00,0.00,580.00,121.00,0.00,116.00,0.00,343.00
2023,8,F9,Frontier Airlines Inc.,HOU,"Houston, TX: William P Hobby",26.00,9.00,2.10,0.00,0.66,0.00,6.24,3.00,0.00,601.00,167.00,0.00,96.00,0.00,338.00
2023,8,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",130.00,45.00,17.58,0.15,6.82,0.00,20.45,2.00,0.00,2872.00,1247.00,8.00,376.00,0.00,1241.00
2023,8,F9,Frontier Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",69.00,19.00,4.34,0.15,2.42,0.00,12.10,4.00,0.00,1862.00,345.00,12.00,126.00,0.00,1379.00
2023,8,F9,Frontier Airlines Inc.,ISP,"Islip, NY: Long Island MacArthur",171.00,58.00,18.92,1.04,5.51,0.00,32.52,12.00,0.00,4797.00,1274.00,180.00,288.00,0.00,3055.00
2023,8,F9,Frontier Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",55.00,10.00,7.35,0.00,0.66,0.00,1.99,2.00,0.00,676.00,427.00,0.00,20.00,0.00,229.00
2023,8,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",1098.00,346.00,105.68,2.30,59.93,0.00,178.10,60.00,1.00,29698.00,9438.00,237.00,3392.00,0.00,16631.00
2023,8,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",117.00,33.00,14.71,1.48,7.42,0.00,9.38,9.00,0.00,2120.00,1166.00,37.00,361.00,0.00,556.00
