year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,HA,Hawaiian Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,8,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",20.00,7.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,215.00,189.00,0.00,0.00,26.00,0.00
2023,8,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2837.00,510.00,300.40,3.89,23.02,2.33,180.35,43.00,0.00,23555.00,12586.00,399.00,726.00,61.00,9783.00
2023,8,HA,Hawaiian Airlines Inc.,ITO,"Hilo, HI: Hilo International",499.00,50.00,29.67,0.00,0.00,0.00,20.33,4.00,0.00,1692.00,1035.00,0.00,0.00,0.00,657.00
2023,8,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.00,9.00,8.47,0.00,0.00,0.00,0.53,0.00,0.00,280.00,262.00,0.00,0.00,0.00,18.00
2023,8,HA,Hawaiian Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",685.00,94.00,50.42,0.21,2.99,1.00,39.38,7.00,2.00,3258.00,1583.00,13.00,80.00,16.00,1566.00
2023,8,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",88.00,21.00,13.48,1.00,0.00,0.00,6.52,0.00,0.00,1674.00,972.00,229.00,0.00,0.00,473.00
2023,8,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",189.00,39.00,28.44,0.00,0.00,0.00,10.56,5.00,0.00,2740.00,2117.00,0.00,0.00,0.00,623.00
2023,8,HA,Hawaiian Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",62.00,8.00,6.25,0.55,1.00,0.00,0.20,3.00,1.00,257.00,208.00,17.00,29.00,0.00,3.00
2023,8,HA,Hawaiian Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",726.00,89.00,50.14,0.00,2.10,0.00,36.75,3.00,0.00,2921.00,1540.00,0.00,121.00,0.00,1260.00
2023,8,HA,Hawaiian Airlines Inc.,OAK,"Oakland, CA: Metro Oakland International",98.00,21.00,14.74,0.84,0.00,1.00,4.42,8.00,0.00,726.00,432.00,16.00,0.00,68.00,210.00
2023,8,HA,Hawaiian Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",1322.00,158.00,113.29,1.94,8.78,0.65,33.34,23.00,5.00,6364.00,4635.00,97.00,476.00,13.00,1143.00
2023,8,HA,Hawaiian Airlines Inc.,ONT,"Ontario, CA: Ontario International",31.00,5.00,3.51,0.08,0.00,0.00,1.41,0.00,0.00,170.00,135.00,6.00,0.00,0.00,29.00
2023,8,HA,Hawaiian Airlines Inc.,PDX,"Portland, OR: Portland International",62.00,29.00,23.14,0.00,0.40,0.00,5.46,0.00,0.00,2415.00,1988.00,0.00,23.00,0.00,404.00
2023,8,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",31.00,15.00,12.91,0.00,0.00,0.00,2.09,0.00,1.00,4095.00,3763.00,0.00,0.00,0.00,332.00
2023,8,HA,Hawaiian Airlines Inc.,PPG,"Pago Pago, TT: Pago Pago International",14.00,4.00,3.76,0.00,0.00,0.00,0.24,0.00,0.00,349.00,284.00,0.00,0.00,0.00,65.00
2023,8,HA,Hawaiian Airlines Inc.,SAN,"San Diego, CA: San Diego International",62.00,10.00,6.93,0.00,0.00,0.00,3.07,2.00,0.00,485.00,326.00,0.00,0.00,0.00,159.00
2023,8,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",62.00,26.00,18.80,0.00,1.00,0.00,6.20,0.00,0.00,1569.00,1270.00,0.00,59.00,0.00,240.00
2023,8,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",64.00,16.00,11.59,0.41,0.00,0.00,4.00,9.00,0.00,695.00,446.00,9.00,0.00,0.00,240.00
2023,8,HA,Hawaiian Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",62.00,11.00,5.03,0.00,1.00,0.00,4.97,1.00,0.00,621.00,336.00,0.00,50.00,0.00,235.00
2023,8,HA,Hawaiian Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",63.00,17.00,14.38,0.00,0.00,0.49,2.13,1.00,1.00,1259.00,1170.00,0.00,0.00,25.00,64.00
2023,7,HA,Hawaiian Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",17.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,347.00,347.00,0.00,0.00,0.00,0.00
2023,7,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",22.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,125.00,0.00,0.00,0.00,0.00
2023,7,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2836.00,480.00,269.66,0.00,15.92,0.17,194.25,21.00,1.00,27462.00,17910.00,0.00,485.00,9.00,9058.00
2023,7,HA,Hawaiian Airlines Inc.,ITO,"Hilo, HI: Hilo International",501.00,51.00,24.44,3.28,0.00,0.40,22.88,4.00,1.00,1766.00,925.00,85.00,0.00,6.00,750.00
2023,7,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.00,12.00,7.93,0.00,0.00,0.00,4.07,0.00,1.00,411.00,307.00,0.00,0.00,0.00,104.00
2023,7,HA,Hawaiian Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",687.00,86.00,48.44,0.00,0.36,0.48,36.71,2.00,1.00,2725.00,1300.00,0.00,12.00,11.00,1402.00
2023,7,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",120.00,38.00,25.98,0.00,0.82,1.00,10.20,1.00,0.00,1980.00,1256.00,0.00,14.00,30.00,680.00
2023,7,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",194.00,53.00,40.83,0.00,0.00,2.18,9.99,4.00,1.00,4717.00,3369.00,0.00,0.00,48.00,1300.00
2023,7,HA,Hawaiian Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",62.00,14.00,12.07,0.00,0.00,0.00,1.93,3.00,0.00,564.00,497.00,0.00,0.00,0.00,67.00
2023,7,HA,Hawaiian Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",726.00,110.00,64.97,0.00,0.86,1.55,42.62,4.00,1.00,3628.00,1923.00,0.00,24.00,57.00,1624.00
2023,7,HA,Hawaiian Airlines Inc.,OAK,"Oakland, CA: Metro Oakland International",93.00,13.00,9.23,0.00,0.00,0.00,3.77,3.00,0.00,923.00,572.00,0.00,0.00,0.00,351.00
2023,7,HA,Hawaiian Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",1347.00,186.00,137.10,1.09,2.32,2.20,43.30,10.00,0.00,13085.00,10964.00,240.00,73.00,63.00,1745.00
2023,7,HA,Hawaiian Airlines Inc.,ONT,"Ontario, CA: Ontario International",31.00,9.00,7.51,0.00,0.00,0.71,0.79,0.00,0.00,327.00,288.00,0.00,0.00,12.00,27.00
