year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,B6,JetBlue Airways,ABQ,"Albuquerque, NM: Albuquerque International Sunport",31.00,18.00,8.61,0.00,3.90,0.00,5.49,0.00,0.00,1758.00,798.00,0.00,305.00,0.00,655.00
2023,8,B6,JetBlue Airways,ACK,"Nantucket, MA: Nantucket Memorial",219.00,59.00,25.58,3.25,7.15,0.00,23.03,2.00,0.00,4683.00,1657.00,293.00,442.00,0.00,2291.00
2023,8,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",62.00,32.00,15.92,2.00,5.85,0.47,7.76,3.00,0.00,3192.00,1417.00,66.00,447.00,52.00,1210.00
2023,8,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",309.00,132.00,56.63,2.85,34.86,0.32,37.34,10.00,5.00,10535.00,4426.00,131.00,2244.00,7.00,3727.00
2023,8,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",93.00,23.00,13.81,0.65,6.58,0.00,1.96,3.00,0.00,1237.00,752.00,47.00,249.00,0.00,189.00
2023,8,B6,JetBlue Airways,AVL,"Asheville, NC: Asheville Regional",31.00,4.00,0.13,0.98,1.08,0.00,1.80,0.00,0.00,482.00,25.00,59.00,31.00,0.00,367.00
2023,8,B6,JetBlue Airways,BDL,"Hartford, CT: Bradley International",248.00,117.00,50.31,2.12,14.08,1.19,49.29,6.00,0.00,9338.00,4349.00,55.00,639.00,33.00,4262.00
2023,8,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",166.00,55.00,25.72,1.55,11.97,0.00,15.76,7.00,0.00,4141.00,2079.00,69.00,630.00,0.00,1363.00
2023,8,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3614.00,1330.00,321.33,13.74,413.34,0.79,580.80,90.00,5.00,123051.00,37416.00,854.00,23757.00,19.00,61005.00
2023,8,B6,JetBlue Airways,BQN,"Aguadilla, PR: Rafael Hernandez",184.00,73.00,33.16,1.31,15.36,0.00,23.17,8.00,0.00,6887.00,3662.00,63.00,663.00,0.00,2499.00
2023,8,B6,JetBlue Airways,BTV,"Burlington, VT: Burlington International",58.00,23.00,9.98,0.00,4.11,0.00,8.91,1.00,0.00,1889.00,621.00,0.00,220.00,0.00,1048.00
2023,8,B6,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International",257.00,100.00,43.14,3.47,18.57,0.00,34.82,8.00,0.00,8361.00,2924.00,407.00,1360.00,0.00,3670.00
2023,8,B6,JetBlue Airways,BUR,"Burbank, CA: Bob Hope",31.00,15.00,10.02,0.00,2.65,0.00,2.33,1.00,0.00,844.00,548.00,0.00,184.00,0.00,112.00
2023,8,B6,JetBlue Airways,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62.00,11.00,3.96,0.00,1.02,0.00,6.02,1.00,0.00,1364.00,641.00,0.00,188.00,0.00,535.00
2023,8,B6,JetBlue Airways,BZN,"Bozeman, MT: Bozeman Yellowstone International",31.00,7.00,2.69,0.00,1.62,0.00,2.68,0.00,0.00,539.00,130.00,0.00,40.00,0.00,369.00
2023,8,B6,JetBlue Airways,CHS,"Charleston, SC: Charleston AFB/International",243.00,53.00,19.58,0.94,14.54,0.00,17.94,6.00,2.00,3377.00,1365.00,27.00,550.00,0.00,1435.00
