year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2009,12,NW,Northwest Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",55.00,8.00,2.39,0.70,3.78,0.00,1.14,0.00,0.00,288.00,138.00,12.00,101.00,0.00,37.00
2009,12,NW,Northwest Airlines Inc.,ALB,"Albany, NY: Albany International",30.00,6.00,3.86,0.81,1.32,0.00,0.00,0.00,0.00,317.00,158.00,109.00,50.00,0.00,0.00
2009,12,NW,Northwest Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",46.00,12.00,6.01,0.44,3.34,0.00,2.21,0.00,1.00,662.00,360.00,71.00,148.00,0.00,83.00
2009,12,NW,Northwest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",31.00,10.00,2.23,0.00,1.95,0.18,5.65,0.00,0.00,351.00,93.00,0.00,48.00,7.00,203.00
2009,12,NW,Northwest Airlines Inc.,BDL,"Hartford, CT: Bradley International",128.00,26.00,16.82,0.58,7.23,0.00,1.36,1.00,0.00,1045.00,649.00,21.00,330.00,0.00,45.00
2009,12,NW,Northwest Airlines Inc.,BIL,"Billings, MT: Billings Logan International",28.00,6.00,4.93,0.00,0.99,0.00,0.07,0.00,0.00,242.00,200.00,0.00,40.00,0.00,2.00
2009,12,NW,Northwest Airlines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",45.00,11.00,3.25,0.24,3.57,0.00,3.93,4.00,0.00,699.00,343.00,7.00,143.00,0.00,206.00
2009,12,NW,Northwest Airlines Inc.,BNA,"Nashville, TN: Nashville International",95.00,21.00,11.10,0.00,6.23,0.00,3.68,0.00,0.00,1044.00,675.00,0.00,165.00,0.00,204.00
2009,12,NW,Northwest Airlines Inc.,BOS,"Boston, MA: Logan International",325.00,95.00,32.63,6.89,43.37,0.00,12.11,4.00,1.00,4026.00,1557.00,332.00,1512.00,0.00,625.00
2009,12,NW,Northwest Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",73.00,10.00,3.13,0.85,4.97,0.00,1.05,1.00,0.00,595.00,117.00,259.00,147.00,0.00,72.00
2009,12,NW,Northwest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",233.00,47.00,19.19,0.00,21.39,0.00,6.42,9.00,0.00,1800.00,756.00,0.00,676.00,0.00,368.00
2009,12,NW,Northwest Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",17.00,4.00,3.29,0.00,0.27,0.00,0.45,0.00,0.00,177.00,156.00,0.00,4.00,0.00,17.00
2009,12,NW,Northwest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",132.00,36.00,10.72,1.95,18.08,0.00,5.24,0.00,0.00,1172.00,401.00,67.00,483.00,0.00,221.00
2009,12,NW,Northwest Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",95.00,29.00,16.78,0.40,8.12,0.00,3.70,0.00,0.00,1965.00,1374.00,27.00,395.00,0.00,169.00
2009,12,NW,Northwest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",419.00,78.00,30.13,2.69,33.80,0.00,11.38,18.00,5.00,3066.00,1373.00,239.00,1040.00,0.00,414.00
2009,12,NW,Northwest Airlines Inc.,DEN,"Denver, CO: Denver International",323.00,81.00,40.38,3.60,27.38,0.00,9.65,1.00,0.00,3350.00,1852.00,133.00,985.00,0.00,380.00
2009,12,NW,Northwest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",127.00,27.00,10.90,0.86,12.62,0.00,2.62,2.00,4.00,1445.00,749.00,140.00,407.00,0.00,149.00
2009,12,NW,Northwest Airlines Inc.,DLH,"Duluth, MN: Duluth International",11.00,3.00,1.55,0.00,1.45,0.00,0.00,1.00,0.00,75.00,39.00,0.00,36.00,0.00,0.00
2009,12,NW,Northwest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",5024.00,917.00,272.67,17.57,315.34,5.65,305.77,87.00,7.00,51672.00,21554.00,2153.00,10529.00,168.00,17268.00
2009,12,NW,Northwest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",134.00,57.00,10.82,23.11,16.79,0.00,6.28,7.00,1.00,3570.00,553.00,1929.00,733.00,0.00,355.00
2009,12,NW,Northwest Airlines Inc.,FAR,"Fargo, ND: Hector International",105.00,35.00,16.69,0.79,11.19,0.00,6.32,3.00,0.00,1754.00,849.00,23.00,437.00,0.00,445.00
2009,12,NW,Northwest Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",268.00,101.00,46.09,1.37,45.48,0.00,8.07,1.00,1.00,4543.00,2449.00,64.00,1591.00,0.00,439.00
2009,12,NW,Northwest Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",21.00,4.00,1.73,0.00,2.27,0.00,0.00,1.00,0.00,213.00,109.00,0.00,104.00,0.00,0.00
2009,12,NW,Northwest Airlines Inc.,GEG,"Spokane, WA: Spokane International",58.00,12.00,5.99,0.98,2.47,0.00,2.56,0.00,0.00,508.00,217.00,61.00,113.00,0.00,117.00
2009,12,NW,Northwest Airlines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",89.00,11.00,5.49,0.00,3.99,0.00,1.52,5.00,0.00,382.00,206.00,0.00,111.00,0.00,65.00
2009,12,NW,Northwest Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",168.00,50.00,19.11,1.78,23.33,0.38,5.40,3.00,0.00,1837.00,726.00,76.00,829.00,10.00,196.00
2009,12,NW,Northwest Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2009,12,NW,Northwest Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",188.00,121.00,26.55,0.46,85.27,0.00,8.72,2.00,2.00,6068.00,1811.00,13.00,3727.00,0.00,517.00
2009,12,NW,Northwest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",157.00,36.00,17.95,1.69,14.51,0.00,1.86,1.00,29.00,1412.00,802.00,29.00,478.00,0.00,103.00
2009,12,NW,Northwest Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",297.00,63.00,29.37,0.80,23.05,0.00,9.79,0.00,2.00,2694.00,1360.00,94.00,774.00,0.00,466.00
2009,12,NW,Northwest Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",10.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,29.00,0.00,0.00
2009,12,NW,Northwest Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",61.00,19.00,13.43,0.00,4.14,0.00,1.43,0.00,1.00,673.00,496.00,0.00,134.00,0.00,43.00
