year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",1003.00,237.00,72.39,1.47,26.10,0.00,137.04,12.00,0.00,9768.00,2718.00,53.00,1114.00,0.00,5883.00
2023,8,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",312.00,107.00,45.40,1.00,15.35,0.00,45.25,4.00,0.00,5040.00,2004.00,50.00,484.00,0.00,2502.00
2023,8,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",207.00,33.00,12.80,0.00,3.78,0.00,16.42,1.00,0.00,989.00,403.00,0.00,93.00,0.00,493.00
2023,8,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3143.00,717.00,183.49,26.09,218.51,0.00,288.91,34.00,15.00,41231.00,9166.00,2453.00,14291.00,0.00,15321.00
2023,8,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",3169.00,623.00,185.41,11.02,111.81,2.52,312.24,32.00,10.00,29059.00,8067.00,816.00,3928.00,97.00,16151.00
2023,8,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",347.00,116.00,52.50,0.64,15.55,0.00,47.31,6.00,0.00,4989.00,2026.00,49.00,516.00,0.00,2398.00
2023,8,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",326.00,75.00,32.14,1.50,12.65,0.00,28.71,5.00,1.00,3106.00,1280.00,56.00,475.00,0.00,1295.00
2023,8,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",91.00,32.00,10.72,0.00,5.90,0.00,15.37,0.00,0.00,1434.00,524.00,0.00,213.00,0.00,697.00
2023,8,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",4116.00,677.00,188.13,16.82,111.99,3.96,356.10,31.00,8.00,33431.00,8935.00,1384.00,4666.00,249.00,18197.00
2023,8,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",370.00,110.00,40.00,0.00,17.90,0.00,52.10,4.00,1.00,4486.00,1440.00,0.00,522.00,0.00,2524.00
2023,8,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",605.00,213.00,64.41,6.49,60.91,0.00,81.19,4.00,1.00,11859.00,3283.00,827.00,3357.00,0.00,4392.00
2023,8,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",378.00,118.00,55.60,2.86,12.29,0.00,47.25,5.00,1.00,5452.00,1852.00,650.00,589.00,0.00,2361.00
2023,8,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1828.00,406.00,103.87,2.24,53.14,0.50,246.26,83.00,4.00,17994.00,4204.00,136.00,2111.00,15.00,11528.00
2023,8,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6251.00,1279.00,316.84,36.17,274.18,6.66,645.15,121.00,6.00,66899.00,16841.00,3204.00,13062.00,312.00,33480.00
2023,8,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",178.00,48.00,19.96,0.91,4.18,0.00,22.95,0.00,0.00,2075.00,666.00,43.00,163.00,0.00,1203.00
2023,8,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",296.00,72.00,22.94,0.00,13.46,0.00,35.60,7.00,2.00,3093.00,831.00,0.00,458.00,0.00,1804.00
2023,8,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",432.00,127.00,45.70,0.75,15.33,0.00,65.22,3.00,2.00,5804.00,1804.00,57.00,776.00,0.00,3167.00
2023,8,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",254.00,71.00,22.96,0.11,19.92,0.00,28.01,0.00,1.00,3908.00,1035.00,20.00,1221.00,0.00,1632.00
2023,8,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",1003.00,245.00,91.98,6.65,27.94,2.20,116.23,13.00,0.00,12865.00,4364.00,410.00,1440.00,154.00,6497.00
2023,8,WN,Southwest Airlines Co.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",474.00,124.00,31.41,4.64,18.49,0.00,69.47,4.00,2.00,5967.00,1265.00,389.00,935.00,0.00,3378.00
2023,8,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",114.00,14.00,5.70,0.00,0.00,0.00,8.31,2.00,0.00,593.00,198.00,0.00,0.00,0.00,395.00
2023,8,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",225.00,66.00,22.16,0.76,5.81,0.00,37.26,1.00,0.00,3428.00,936.00,16.00,202.00,0.00,2274.00
2023,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",6259.00,1127.00,334.54,18.98,182.87,5.25,585.37,57.00,9.00,51622.00,14826.00,1476.00,6259.00,212.00,28849.00
2023,8,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1425.00,293.00,91.58,4.76,91.51,0.97,104.18,28.00,4.00,13911.00,3653.00,297.00,3772.00,64.00,6125.00
2023,8,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",8727.00,2208.00,491.62,51.67,750.42,3.67,910.63,109.00,33.00,114095.00,23438.00,4122.00,38031.00,228.00,48276.00
2023,8,WN,Southwest Airlines Co.,DSM,"Des Moines, IA: Des Moines International",151.00,52.00,17.10,0.00,7.67,0.00,27.23,0.00,0.00,2401.00,589.00,0.00,248.00,0.00,1564.00
2023,8,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",358.00,121.00,56.17,1.65,13.63,0.00,49.55,4.00,1.00,5150.00,2054.00,309.00,439.00,0.00,2348.00
2023,8,WN,Southwest Airlines Co.,ECP,"Panama City, FL: Northwest Florida Beaches International",316.00,80.00,16.62,0.00,21.11,0.00,42.26,0.00,1.00,2693.00,702.00,0.00,651.00,0.00,1340.00
