year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,NK,Spirit Air Lines,ABQ,"Albuquerque, NM: Albuquerque International Sunport",31.00,11.00,2.26,0.34,5.57,0.00,2.82,0.00,0.00,443.00,75.00,51.00,233.00,0.00,84.00
2023,8,NK,Spirit Air Lines,ACY,"Atlantic City, NJ: Atlantic City International",248.00,66.00,20.00,5.86,21.15,1.15,17.84,4.00,0.00,5161.00,974.00,247.00,1925.00,65.00,1950.00
2023,8,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1056.00,352.00,87.95,14.13,178.23,6.51,65.19,11.00,10.00,27484.00,7087.00,1220.00,12113.00,277.00,6787.00
2023,8,NK,Spirit Air Lines,AUS,"Austin, TX: Austin - Bergstrom International",204.00,65.00,28.48,1.73,21.54,0.32,12.93,0.00,0.00,5383.00,2573.00,88.00,1580.00,53.00,1089.00
2023,8,NK,Spirit Air Lines,BDL,"Hartford, CT: Bradley International",76.00,22.00,3.74,2.17,8.22,0.45,7.42,1.00,0.00,1270.00,149.00,143.00,525.00,36.00,417.00
2023,8,NK,Spirit Air Lines,BNA,"Nashville, TN: Nashville International",224.00,65.00,22.98,1.17,28.70,1.20,10.95,2.00,0.00,4233.00,1244.00,98.00,1531.00,70.00,1290.00
2023,8,NK,Spirit Air Lines,BOI,"Boise, ID: Boise Air Terminal",31.00,5.00,0.17,1.00,3.83,0.00,0.00,1.00,1.00,181.00,5.00,17.00,159.00,0.00,0.00
2023,8,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",464.00,207.00,42.76,11.13,114.97,6.90,31.25,4.00,0.00,14999.00,3821.00,892.00,7691.00,264.00,2331.00
2023,8,NK,Spirit Air Lines,BQN,"Aguadilla, PR: Rafael Hernandez",62.00,38.00,15.46,4.55,9.30,1.00,7.70,1.00,0.00,2072.00,726.00,207.00,453.00,16.00,670.00
2023,8,NK,Spirit Air Lines,BUR,"Burbank, CA: Bob Hope",61.00,8.00,3.38,0.00,3.36,0.00,1.27,2.00,0.00,546.00,176.00,0.00,264.00,0.00,106.00
2023,8,NK,Spirit Air Lines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",563.00,172.00,73.96,7.40,53.21,4.79,32.64,10.00,1.00,14354.00,6560.00,495.00,4248.00,351.00,2700.00
2023,8,NK,Spirit Air Lines,CHS,"Charleston, SC: Charleston AFB/International",92.00,32.00,11.88,2.00,9.46,0.85,7.82,2.00,0.00,3249.00,749.00,86.00,1375.00,22.00,1017.00
2023,8,NK,Spirit Air Lines,CLE,"Cleveland, OH: Cleveland-Hopkins International",226.00,97.00,31.79,8.81,28.27,1.45,26.67,3.00,1.00,7566.00,2295.00,780.00,2215.00,60.00,2216.00
2023,8,NK,Spirit Air Lines,CLT,"Charlotte, NC: Charlotte Douglas International",365.00,138.00,34.43,6.99,66.24,5.66,24.68,6.00,1.00,10880.00,2637.00,325.00,4889.00,306.00,2723.00
2023,8,NK,Spirit Air Lines,CMH,"Columbus, OH: John Glenn Columbus International",136.00,47.00,20.70,2.20,17.57,0.00,6.53,1.00,0.00,3409.00,1521.00,159.00,1301.00,0.00,428.00
2023,8,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",141.00,46.00,9.89,3.35,24.06,5.42,3.28,0.00,1.00,2195.00,630.00,122.00,1039.00,149.00,255.00
2023,8,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",810.00,271.00,80.03,10.86,113.02,8.85,58.24,8.00,1.00,19830.00,6897.00,658.00,6083.00,382.00,5810.00
2023,8,NK,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",790.00,232.00,79.05,12.95,67.05,4.28,68.66,9.00,1.00,17930.00,5914.00,1119.00,4547.00,191.00,6159.00
2023,8,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",873.00,286.00,81.75,10.43,130.82,5.34,57.66,10.00,2.00,19644.00,6247.00,662.00,8056.00,236.00,4443.00
2023,8,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1829.00,640.00,144.11,14.15,263.99,9.59,208.16,19.00,14.00,49696.00,12508.00,1523.00,17883.00,1244.00,16538.00
