,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
American, 9.10 , 9.47 , 9.82 , 9.98 , 9.51 , 10.72 , 9.69 , 8.77 , 9.11 , 9.08 , 9.89 , 9.89 , 10.86 , 11.90 , 10.95 , 12.11 , 12.84 , 13.47 , 13.83 , 14.13 , 13.52 , 12.83 , 13.30 , 14.72 ,
Continental, 8.48 , 9.37 , 9.66 , 9.50 , 9.25 , 10.13 , 9.29 , 9.04 , 9.27 , 9.28 , 9.79 , 10.54 , 11.03 , 11.75 , 10.34 , 11.73 , 12.95 , -   , -   , -   , -   , -   , -   , -   ,
Delta, 9.29 , 9.50 , 9.80 , 9.89 , 9.73 , 10.04 , 8.96 , 8.83 , 10.95 , 9.91 , 9.26 , 10.07 , 10.99 , 12.04 , 10.93 , 12.39 , 13.57 , 14.48 , 14.90 , 15.45 , 15.07 , 14.39 , 14.74 , 15.16 ,
Northwest, 9.87 , 10.10 , 9.96 , 9.08 , 9.54 , 10.23 , 9.32 , 9.32 , 9.74 , 10.41 , 11.01 , 12.21 , 12.21 , 12.91 , 10.87 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
United, 8.82 , 9.36 , 9.60 , 9.44 , 9.45 , 10.18 , 8.79 , 8.43 , 8.61 , 9.05 , 9.72 , 10.56 , 11.32 , 11.92 , 10.14 , 12.18 , 13.14 , 13.02 , 13.30 , 13.66 , 13.09 , 12.35 , 12.41 , 12.94 ,
US Airways, 11.19 , 12.39 , 12.72 , 12.91 , 12.05 , 11.83 , 10.36 , 9.80 , 10.13 , 9.92 , 9.96 , 17.25 , 15.35 , 11.64 , 10.72 , 12.03 , 13.10 , 13.49 , 13.83 , 14.42 , -   , -   , -   , -   ,
America West, 7.82 , 7.88 , 7.79 , 7.92 , 8.09 , 8.27 , 7.42 , 7.23 , 7.70 , 7.42 , 8.53 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Southwest, 7.77 , 8.30 , 8.51 , 8.72 , 8.93 , 9.41 , 8.46 , 7.98 , 8.24 , 8.46 , 8.87 , 9.78 , 9.87 , 10.64 , 10.52 , 12.26 , 13.12 , 13.29 , 13.52 , 14.13 , 14.04 , 13.69 , 13.71 , 13.69 ,
jetBlue, -   , -   , -   , -   , -   , 7.63 , 7.50 , 7.67 , 7.22 , 6.60 , 7.00 , 8.03 , 8.54 , 10.03 , 9.64 , 10.40 , 11.56 , 11.96 , 12.23 , 12.52 , 12.66 , 11.96 , 12.02 , 12.19 ,
AirTran, -   , -   , 7.39 , 8.02 , 9.01 , 10.55 , 10.09 , 8.70 , 9.09 , 8.67 , 9.43 , 9.96 , 10.17 , 10.72 , 10.04 , 10.87 , 11.88 , -   , -   , -   , -   , -   , -   , -   ,
Frontier, 7.76 , 8.33 , 7.54 , 8.79 , 9.03 , 11.11 , 9.49 , 8.91 , 8.67 , 8.16 , 9.20 , 9.53 , 9.27 , 10.48 , 9.53 , 10.77 , 13.56 , 12.04 , 12.13 , 12.29 , 9.95 , 7.87 , 7.11 , 6.62 ,
Virgin America, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.70 , 8.21 , 8.07 , 9.36 , 10.40 , 10.52 , 11.41 , 11.85 , 11.70 , 11.01 , 10.43 , -   ,
Alaska, 7.78 , 8.26 , 8.95 , 8.90 , 9.23 , 9.79 , 9.42 , 9.01 , 9.19 , 9.51 , 10.23 , 10.97 , 11.05 , 11.46 , 11.09 , 11.91 , 12.81 , 13.09 , 13.52 , 13.13 , 12.31 , 11.70 , 11.83 , 11.44 ,
Hawaiian, 7.33 , 7.46 , 7.31 , 7.50 , 7.56 , 7.99 , 7.51 , 9.47 , 9.59 , 10.52 , 10.46 , 10.73 , 10.41 , 12.46 , 11.76 , 12.54 , 13.40 , 13.10 , 12.57 , 13.10 , 12.52 , 12.72 , 13.57 , 13.31 ,
Spirit, 8.01 , 7.31 , 7.45 , 8.42 , 7.46 , 8.08 , 8.22 , 7.24 , 7.75 , 7.69 , 8.58 , 9.73 , 8.96 , 9.63 , 9.31 , 9.57 , 11.37 , 11.58 , 11.88 , 11.72 , 10.02 , 9.06 , 8.93 , 9.14 ,
Allegiant, -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.69 , 8.31 , 8.33 , 9.11 , 11.29 , 8.93 , 9.27 , 10.48 , 10.67 , 10.76 , 11.17 , 10.11 , 9.19 , 9.22 , 9.27 ,
Total All Sectors, 9.15 , 9.58 , 9.81 , 9.72 , 9.58 , 10.24 , 9.15 , 8.75 , 9.28 , 9.24 , 9.64 , 10.69 , 11.10 , 11.67 , 10.56 , 11.97 , 12.99 , 13.37 , 13.68 , 14.09 , 13.55 , 12.85 , 13.01 , 13.50 ,
