year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,UA,United Air Lines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",185.00,50.00,22.52,1.21,5.57,0.00,20.70,2.00,0.00,2830.00,1160.00,62.00,254.00,0.00,1354.00
2023,8,UA,United Air Lines Inc.,ALB,"Albany, NY: Albany International",89.00,16.00,3.13,0.58,5.28,0.00,7.01,1.00,0.00,537.00,121.00,39.00,193.00,0.00,184.00
2023,8,UA,United Air Lines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",217.00,49.00,22.54,0.00,16.86,0.00,9.60,1.00,0.00,3113.00,1417.00,0.00,539.00,0.00,1157.00
2023,8,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",767.00,192.00,62.90,6.42,71.02,0.00,51.67,5.00,10.00,13356.00,3698.00,878.00,3929.00,0.00,4851.00
2023,8,UA,United Air Lines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",825.00,179.00,64.19,3.01,40.75,0.00,71.05,8.00,0.00,10888.00,3518.00,350.00,1508.00,0.00,5512.00
2023,8,UA,United Air Lines Inc.,BDL,"Hartford, CT: Bradley International",192.00,45.00,13.79,1.17,12.79,0.00,17.26,1.00,0.00,2969.00,871.00,64.00,519.00,0.00,1515.00
2023,8,UA,United Air Lines Inc.,BIL,"Billings, MT: Billings Logan International",60.00,20.00,9.13,0.62,1.38,0.00,8.87,0.00,0.00,1726.00,742.00,72.00,92.00,0.00,820.00
2023,8,UA,United Air Lines Inc.,BNA,"Nashville, TN: Nashville International",624.00,156.00,53.34,5.39,36.50,0.00,60.77,8.00,0.00,9365.00,2906.00,335.00,1511.00,0.00,4613.00
2023,8,UA,United Air Lines Inc.,BOI,"Boise, ID: Boise Air Terminal",186.00,45.00,16.22,1.53,7.30,0.00,19.95,0.00,0.00,2338.00,716.00,96.00,462.00,0.00,1064.00
2023,8,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",1106.00,262.00,69.27,4.39,132.25,0.00,56.09,8.00,1.00,16847.00,4432.00,240.00,7331.00,0.00,4844.00
2023,8,UA,United Air Lines Inc.,BQN,"Aguadilla, PR: Rafael Hernandez",31.00,10.00,4.46,0.00,4.86,0.00,0.68,0.00,0.00,360.00,168.00,0.00,177.00,0.00,15.00
2023,8,UA,United Air Lines Inc.,BTV,"Burlington, VT: Burlington International",141.00,19.00,7.47,0.00,3.35,0.00,8.18,0.00,0.00,916.00,368.00,0.00,111.00,0.00,437.00
2023,8,UA,United Air Lines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",114.00,34.00,13.15,2.61,5.73,0.00,12.51,1.00,0.00,2294.00,618.00,644.00,169.00,0.00,863.00
2023,8,UA,United Air Lines Inc.,BUR,"Burbank, CA: Bob Hope",31.00,13.00,4.13,1.00,0.44,0.00,7.42,0.00,0.00,1457.00,208.00,631.00,31.00,0.00,587.00
2023,8,UA,United Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",326.00,58.00,21.83,1.26,12.25,0.00,22.65,3.00,0.00,3103.00,1197.00,63.00,411.00,0.00,1432.00
2023,8,UA,United Air Lines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",225.00,42.00,12.32,0.00,6.39,0.00,23.29,0.00,0.00,2375.00,595.00,0.00,207.00,0.00,1573.00
2023,8,UA,United Air Lines Inc.,CHS,"Charleston, SC: Charleston AFB/International",252.00,47.00,15.81,0.70,6.91,0.00,23.59,5.00,1.00,3610.00,1054.00,80.00,343.00,0.00,2133.00
2023,8,UA,United Air Lines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",97.00,22.00,9.50,0.00,1.67,0.00,10.83,1.00,0.00,1706.00,566.00,0.00,67.00,0.00,1073.00
2023,8,UA,United Air Lines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",806.00,144.00,49.74,8.54,42.34,0.00,43.38,9.00,7.00,9458.00,2956.00,916.00,1809.00,0.00,3777.00
2023,8,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",414.00,120.00,38.95,2.93,42.39,0.00,35.73,4.00,5.00,8776.00,2817.00,291.00,2161.00,0.00,3507.00
2023,8,UA,United Air Lines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",269.00,70.00,24.25,0.00,16.17,0.00,29.58,4.00,0.00,4248.00,1329.00,0.00,689.00,0.00,2230.00
2023,8,UA,United Air Lines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",35.00,7.00,1.47,0.00,2.43,0.00,3.10,1.00,0.00,425.00,146.00,0.00,69.00,0.00,210.00
2023,8,UA,United Air Lines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",202.00,59.00,15.44,0.67,15.49,0.00,27.40,2.00,0.00,3759.00,1032.00,43.00,539.00,0.00,2145.00
2023,8,UA,United Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",492.00,90.00,22.93,0.45,30.78,0.00,35.85,7.00,4.00,4940.00,1250.00,36.00,1233.00,0.00,2421.00
2023,8,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",8711.00,1564.00,401.48,52.80,622.24,0.90,486.58,96.00,45.00,112049.00,33481.00,5296.00,31673.00,71.00,41528.00
2023,8,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",775.00,177.00,68.88,2.51,51.60,0.00,54.02,6.00,2.00,10469.00,4284.00,199.00,2003.00,0.00,3983.00
2023,8,UA,United Air Lines Inc.,DRO,"Durango, CO: Durango La Plata County",31.00,10.00,3.70,0.00,0.96,0.00,5.33,1.00,0.00,783.00,203.00,0.00,157.00,0.00,423.00
