year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018,3,VX,Virgin America,AUS,"Austin, TX: Austin - Bergstrom International",58.00,14.00,6.83,0.00,3.76,0.00,3.41,1.00,0.00,1120.00,657.00,0.00,239.00,0.00,224.00
2018,3,VX,Virgin America,BNA,"Nashville, TN: Nashville International",31.00,6.00,3.08,0.00,0.00,0.00,2.92,1.00,0.00,480.00,193.00,0.00,0.00,0.00,287.00
2018,3,VX,Virgin America,BOS,"Boston, MA: Logan International",111.00,16.00,7.61,0.57,4.92,0.00,2.90,9.00,0.00,913.00,371.00,43.00,289.00,0.00,210.00
2018,3,VX,Virgin America,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31.00,4.00,3.00,0.00,1.00,0.00,0.00,5.00,0.00,160.00,130.00,0.00,30.00,0.00,0.00
2018,3,VX,Virgin America,DAL,"Dallas, TX: Dallas Love Field",195.00,46.00,9.64,0.00,17.29,0.00,19.07,3.00,0.00,2120.00,577.00,0.00,530.00,0.00,1013.00
2018,3,VX,Virgin America,DCA,"Washington, DC: Ronald Reagan Washington National",40.00,5.00,2.63,0.00,2.37,0.00,0.00,4.00,0.00,133.00,69.00,0.00,64.00,0.00,0.00
2018,3,VX,Virgin America,DEN,"Denver, CO: Denver International",60.00,14.00,4.97,0.00,3.84,0.00,5.19,0.00,0.00,740.00,170.00,0.00,164.00,0.00,406.00
2018,3,VX,Virgin America,EWR,"Newark, NJ: Newark Liberty International",198.00,43.00,14.95,0.99,22.79,0.00,4.26,19.00,0.00,2858.00,840.00,114.00,1625.00,0.00,279.00
2018,3,VX,Virgin America,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",117.00,17.00,6.00,0.00,4.90,0.34,5.76,2.00,0.00,935.00,369.00,0.00,275.00,12.00,279.00
2018,3,VX,Virgin America,HNL,"Honolulu, HI: Daniel K Inouye International",62.00,31.00,7.26,0.00,19.55,0.00,4.19,1.00,1.00,1923.00,917.00,0.00,779.00,0.00,227.00
2018,3,VX,Virgin America,IAD,"Washington, DC: Washington Dulles International",120.00,17.00,5.38,0.00,2.66,0.00,8.95,6.00,0.00,800.00,268.00,0.00,157.00,0.00,375.00
2018,3,VX,Virgin America,IND,"Indianapolis, IN: Indianapolis International",31.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,52.00,52.00,0.00,0.00,0.00,0.00
2018,3,VX,Virgin America,JFK,"New York, NY: John F. Kennedy International",360.00,59.00,22.45,1.84,13.15,1.00,20.55,19.00,2.00,3763.00,1342.00,187.00,893.00,64.00,1277.00
2018,3,VX,Virgin America,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",31.00,20.00,1.83,0.00,17.22,0.00,0.96,1.00,0.00,895.00,80.00,0.00,600.00,0.00,215.00
2018,3,VX,Virgin America,LAS,"Las Vegas, NV: Harry Reid International",364.00,79.00,24.19,0.65,18.42,0.09,35.65,12.00,0.00,4755.00,1584.00,15.00,888.00,5.00,2263.00
2018,3,VX,Virgin America,LAX,"Los Angeles, CA: Los Angeles International",1335.00,311.00,61.87,1.32,160.86,1.38,85.57,52.00,1.00,15993.00,3981.00,28.00,6028.00,36.00,5920.00
2018,3,VX,Virgin America,MCO,"Orlando, FL: Orlando International",62.00,7.00,4.00,0.00,1.05,0.00,1.95,1.00,1.00,461.00,302.00,0.00,42.00,0.00,117.00
2018,3,VX,Virgin America,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",31.00,5.00,2.80,0.00,1.31,0.00,0.90,0.00,0.00,277.00,120.00,0.00,59.00,0.00,98.00
2018,3,VX,Virgin America,OGG,"Kahului, HI: Kahului Airport",86.00,31.00,4.14,0.00,23.12,0.00,3.74,6.00,5.00,1368.00,204.00,0.00,829.00,0.00,335.00
2018,3,VX,Virgin America,ORD,"Chicago, IL: Chicago O'Hare International",83.00,17.00,7.45,0.00,5.00,0.00,4.56,0.00,0.00,942.00,469.00,0.00,162.00,0.00,311.00
2018,3,VX,Virgin America,PDX,"Portland, OR: Portland International",169.00,36.00,10.97,0.00,13.82,1.00,10.21,10.00,0.00,2689.00,1422.00,0.00,436.00,96.00,735.00
2018,3,VX,Virgin America,PHL,"Philadelphia, PA: Philadelphia International",61.00,6.00,4.00,0.00,1.00,0.00,1.00,6.00,0.00,410.00,370.00,0.00,17.00,0.00,23.00
2018,3,VX,Virgin America,PSP,"Palm Springs, CA: Palm Springs International",106.00,32.00,10.46,0.00,8.48,0.00,13.06,5.00,0.00,1599.00,641.00,0.00,212.00,0.00,746.00
2018,3,VX,Virgin America,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",31.00,4.00,0.00,0.00,0.92,0.44,2.65,0.00,0.00,166.00,0.00,0.00,24.00,14.00,128.00
2018,3,VX,Virgin America,SAN,"San Diego, CA: San Diego International",172.00,47.00,14.44,0.00,14.11,0.00,18.45,13.00,0.00,2447.00,1019.00,0.00,517.00,0.00,911.00
2018,3,VX,Virgin America,SEA,"Seattle, WA: Seattle/Tacoma International",443.00,125.00,40.96,0.00,51.90,1.25,30.88,13.00,0.00,6701.00,2689.00,0.00,1608.00,26.00,2378.00
2018,3,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",2136.00,649.00,103.36,4.07,380.03,3.85,157.69,112.00,10.00,42967.00,8218.00,574.00,25285.00,204.00,8686.00
2018,2,VX,Virgin America,AUS,"Austin, TX: Austin - Bergstrom International",52.00,7.00,2.41,0.00,2.53,0.00,2.06,0.00,0.00,337.00,126.00,0.00,108.00,0.00,103.00
2018,2,VX,Virgin America,BNA,"Nashville, TN: Nashville International",28.00,2.00,0.00,0.00,0.60,0.00,1.40,0.00,0.00,43.00,0.00,0.00,15.00,0.00,28.00
2018,2,VX,Virgin America,BOS,"Boston, MA: Logan International",80.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,178.00,115.00,0.00,63.00,0.00,0.00
2018,2,VX,Virgin America,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,2,VX,Virgin America,DAL,"Dallas, TX: Dallas Love Field",234.00,41.00,12.15,0.00,23.41,0.00,5.44,2.00,0.00,1730.00,728.00,0.00,693.00,0.00,309.00
2018,2,VX,Virgin America,DCA,"Washington, DC: Ronald Reagan Washington National",82.00,10.00,2.78,0.00,3.96,0.00,3.27,2.00,0.00,509.00,310.00,0.00,103.00,0.00,96.00
2018,2,VX,Virgin America,DEN,"Denver, CO: Denver International",52.00,10.00,5.75,0.00,3.31,0.00,0.95,0.00,0.00,605.00,444.00,0.00,92.00,0.00,69.00
2018,2,VX,Virgin America,EWR,"Newark, NJ: Newark Liberty International",166.00,26.00,7.74,0.00,16.35,0.00,1.91,2.00,0.00,1681.00,590.00,0.00,991.00,0.00,100.00
2018,2,VX,Virgin America,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",100.00,17.00,4.55,0.00,5.86,0.00,6.59,0.00,0.00,675.00,152.00,0.00,163.00,0.00,360.00
2018,2,VX,Virgin America,HNL,"Honolulu, HI: Daniel K Inouye International",56.00,7.00,4.49,0.00,2.51,0.00,0.00,0.00,0.00,756.00,683.00,0.00,73.00,0.00,0.00
2018,2,VX,Virgin America,IAD,"Washington, DC: Washington Dulles International",104.00,4.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,71.00,53.00,0.00,18.00,0.00,0.00
2018,2,VX,Virgin America,IND,"Indianapolis, IN: Indianapolis International",28.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,63.00,63.00,0.00,0.00,0.00,0.00
2018,2,VX,Virgin America,JFK,"New York, NY: John F. Kennedy International",324.00,41.00,13.37,0.00,18.74,0.00,8.89,1.00,0.00,1845.00,637.00,0.00,649.00,0.00,559.00
2018,2,VX,Virgin America,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",28.00,4.00,2.91,0.00,1.09,0.00,0.00,0.00,1.00,165.00,122.00,0.00,43.00,0.00,0.00
2018,2,VX,Virgin America,LAS,"Las Vegas, NV: Harry Reid International",312.00,51.00,14.20,1.54,22.58,1.00,11.68,0.00,0.00,1989.00,818.00,37.00,597.00,28.00,509.00
2018,2,VX,Virgin America,LAX,"Los Angeles, CA: Los Angeles International",1104.00,177.00,40.91,0.00,99.17,0.00,36.92,4.00,18.00,8263.00,2298.00,0.00,3096.00,0.00,2869.00
2018,2,VX,Virgin America,MCO,"Orlando, FL: Orlando International",56.00,13.00,3.62,0.00,8.04,0.42,0.92,0.00,0.00,293.00,91.00,0.00,172.00,8.00,22.00
2018,2,VX,Virgin America,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",30.00,3.00,0.10,0.00,0.69,0.00,2.21,1.00,0.00,206.00,10.00,0.00,22.00,0.00,174.00
2018,2,VX,Virgin America,OGG,"Kahului, HI: Kahului Airport",56.00,4.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,127.00,55.00,0.00,38.00,0.00,34.00
2018,2,VX,Virgin America,ORD,"Chicago, IL: Chicago O'Hare International",56.00,10.00,3.45,0.00,5.55,0.00,1.00,0.00,0.00,875.00,255.00,0.00,570.00,0.00,50.00
2018,2,VX,Virgin America,PDX,"Portland, OR: Portland International",57.00,12.00,2.77,0.00,6.28,0.00,2.95,0.00,0.00,528.00,194.00,0.00,162.00,0.00,172.00
2018,2,VX,Virgin America,PHL,"Philadelphia, PA: Philadelphia International",56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,2,VX,Virgin America,PSP,"Palm Springs, CA: Palm Springs International",92.00,15.00,3.85,0.00,4.14,0.00,7.02,1.00,0.00,556.00,163.00,0.00,105.00,0.00,288.00
2018,2,VX,Virgin America,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,2,VX,Virgin America,SAN,"San Diego, CA: San Diego International",150.00,21.00,3.65,0.00,11.09,0.00,6.26,0.00,0.00,744.00,150.00,0.00,392.00,0.00,202.00
2018,2,VX,Virgin America,SEA,"Seattle, WA: Seattle/Tacoma International",228.00,67.00,20.45,0.00,28.85,0.00,17.70,1.00,0.00,3479.00,1159.00,0.00,1013.00,0.00,1307.00
2018,2,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1735.00,341.00,70.06,1.20,200.20,1.14,68.40,10.00,39.00,16835.00,3789.00,58.00,8393.00,34.00,4561.00
2018,1,VX,Virgin America,AUS,"Austin, TX: Austin - Bergstrom International",58.00,10.00,4.84,0.00,4.16,0.00,1.00,1.00,0.00,469.00,317.00,0.00,107.00,0.00,45.00
2018,1,VX,Virgin America,BNA,"Nashville, TN: Nashville International",31.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,68.00,18.00,0.00,26.00,0.00,24.00
2018,1,VX,Virgin America,BOS,"Boston, MA: Logan International",92.00,18.00,3.12,0.00,12.13,0.84,1.92,4.00,0.00,547.00,118.00,0.00,325.00,53.00,51.00
2018,1,VX,Virgin America,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,1,VX,Virgin America,DAL,"Dallas, TX: Dallas Love Field",283.00,25.00,9.30,0.00,8.23,0.00,7.47,3.00,0.00,1213.00,515.00,0.00,203.00,0.00,495.00
2018,1,VX,Virgin America,DCA,"Washington, DC: Ronald Reagan Washington National",115.00,14.00,4.07,0.00,6.68,0.00,3.25,1.00,0.00,710.00,111.00,0.00,493.00,0.00,106.00
2018,1,VX,Virgin America,DEN,"Denver, CO: Denver International",59.00,6.00,2.00,0.00,3.00,0.00,1.00,1.00,0.00,402.00,70.00,0.00,170.00,0.00,162.00
2018,1,VX,Virgin America,EWR,"Newark, NJ: Newark Liberty International",189.00,49.00,8.36,1.00,37.86,0.00,1.78,7.00,0.00,2551.00,546.00,45.00,1906.00,0.00,54.00
