year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",296.00,70.00,28.43,0.00,6.64,0.00,34.93,2.00,0.00,7128.00,1566.00,0.00,412.00,0.00,5150.00
2023,8,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",93.00,23.00,10.29,0.22,2.55,1.00,8.93,0.00,0.00,1476.00,515.00,24.00,110.00,21.00,806.00
2023,8,AA,American Airlines Inc.,AMA,"Amarillo, TX: Rick Husband Amarillo International",60.00,26.00,10.00,0.00,1.21,0.00,14.79,2.00,0.00,4719.00,1617.00,0.00,38.00,0.00,3064.00
2023,8,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",93.00,37.00,13.00,0.76,14.73,0.00,8.51,0.00,0.00,1528.00,508.00,29.00,385.00,0.00,606.00
2023,8,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",759.00,225.00,67.14,14.76,38.73,0.21,104.17,16.00,5.00,20112.00,5665.00,950.00,2152.00,11.00,11334.00
2023,8,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",1376.00,328.00,92.41,13.89,80.55,0.55,140.60,11.00,1.00,31197.00,9964.00,2181.00,4350.00,11.00,14691.00
2023,8,AA,American Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",165.00,64.00,19.17,5.38,12.37,0.00,27.08,2.00,0.00,6689.00,2412.00,426.00,511.00,0.00,3340.00
2023,8,AA,American Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",77.00,23.00,14.58,2.81,0.90,0.00,4.70,0.00,0.00,2321.00,1603.00,232.00,48.00,0.00,438.00
2023,8,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",278.00,90.00,31.43,5.72,7.27,0.00,45.59,2.00,0.00,5826.00,2049.00,428.00,293.00,0.00,3056.00
2023,8,AA,American Airlines Inc.,BFL,"Bakersfield, CA: Meadows Field",75.00,24.00,9.38,0.05,2.95,0.00,11.62,2.00,0.00,2836.00,758.00,17.00,90.00,0.00,1971.00
2023,8,AA,American Airlines Inc.,BGR,"Bangor, ME: Bangor International",134.00,24.00,6.13,0.32,3.40,0.00,14.15,1.00,0.00,1638.00,483.00,20.00,116.00,0.00,1019.00
2023,8,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",56.00,27.00,5.01,2.23,3.98,0.00,15.78,0.00,0.00,2959.00,929.00,258.00,267.00,0.00,1505.00
2023,8,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",755.00,221.00,79.95,8.58,29.61,1.15,101.72,10.00,1.00,19927.00,8122.00,1069.00,1303.00,39.00,9394.00
2023,8,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",117.00,28.00,11.32,1.00,3.38,0.00,12.30,0.00,0.00,2528.00,577.00,139.00,112.00,0.00,1700.00
2023,8,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1478.00,454.00,117.87,28.77,118.12,2.48,186.76,14.00,2.00,38482.00,11286.00,2379.00,5785.00,194.00,18838.00
