year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2011,12,CO,Continental Air Lines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",97.00,38.00,6.93,0.00,24.56,0.00,6.52,1.00,0.00,1472.00,437.00,0.00,829.00,0.00,206.00
2011,12,CO,Continental Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",102.00,16.00,6.05,0.28,3.63,0.00,6.04,0.00,0.00,670.00,291.00,5.00,82.00,0.00,292.00
2011,12,CO,Continental Air Lines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",271.00,57.00,24.93,0.93,17.25,0.00,13.89,0.00,0.00,2104.00,839.00,26.00,582.00,0.00,657.00
2011,12,CO,Continental Air Lines Inc.,BOS,"Boston, MA: Logan International",390.00,54.00,16.56,0.66,10.37,0.00,26.40,1.00,0.00,2665.00,878.00,44.00,369.00,0.00,1374.00
2011,12,CO,Continental Air Lines Inc.,BQN,"Aguadilla, PR: Rafael Hernandez",27.00,12.00,9.48,0.00,1.87,0.00,0.65,0.00,0.00,454.00,386.00,0.00,42.00,0.00,26.00
2011,12,CO,Continental Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",111.00,18.00,10.36,0.42,2.30,0.00,4.91,0.00,0.00,665.00,406.00,8.00,79.00,0.00,172.00
2011,12,CO,Continental Air Lines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",1061.00,169.00,64.40,0.98,52.95,0.00,50.67,5.00,0.00,6622.00,2725.00,27.00,1358.00,0.00,2512.00
2011,12,CO,Continental Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",46.00,10.00,4.38,0.00,1.49,0.00,4.13,1.00,0.00,443.00,157.00,0.00,51.00,0.00,235.00
2011,12,CO,Continental Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",227.00,31.00,12.00,0.36,13.71,0.00,4.93,1.00,1.00,1238.00,551.00,12.00,357.00,0.00,318.00
2011,12,CO,Continental Air Lines Inc.,DEN,"Denver, CO: Denver International",631.00,137.00,46.67,2.39,68.33,0.00,19.61,1.00,2.00,5287.00,1861.00,118.00,2252.00,0.00,1056.00
2011,12,CO,Continental Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",182.00,40.00,8.82,0.03,25.74,0.00,5.41,3.00,0.00,1741.00,436.00,4.00,878.00,0.00,423.00
2011,12,CO,Continental Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",74.00,13.00,4.32,0.27,5.02,0.00,3.38,0.00,0.00,534.00,283.00,11.00,155.00,0.00,85.00
2011,12,CO,Continental Air Lines Inc.,EGE,"Eagle, CO: Eagle County Regional",34.00,11.00,4.90,0.00,3.64,0.00,2.46,0.00,0.00,380.00,152.00,0.00,119.00,0.00,109.00
2011,12,CO,Continental Air Lines Inc.,ELP,"El Paso, TX: El Paso International",11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2011,12,CO,Continental Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",3727.00,870.00,157.09,12.32,561.18,0.00,139.41,16.00,0.00,44558.00,8022.00,685.00,26871.00,0.00,8980.00
2011,12,CO,Continental Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",486.00,106.00,43.64,0.00,37.40,0.00,24.96,1.00,0.00,4504.00,1986.00,0.00,1061.00,0.00,1457.00
2011,12,CO,Continental Air Lines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",14.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,51.00,0.00,0.00,0.00,0.00
2011,12,CO,Continental Air Lines Inc.,HDN,"Hayden, CO: Yampa Valley",20.00,4.00,2.92,0.00,0.47,0.00,0.61,0.00,0.00,81.00,56.00,0.00,8.00,0.00,17.00
2011,12,CO,Continental Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",205.00,44.00,14.43,0.86,25.95,0.00,2.76,0.00,0.00,2292.00,1224.00,85.00,810.00,0.00,173.00
2011,12,CO,Continental Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",58.00,3.00,1.36,0.00,1.27,0.00,0.38,0.00,1.00,127.00,81.00,0.00,29.00,0.00,17.00
